Año;Concepto;Tipo territorio;Código territorio;Territorio;Valor;Unidad;Estado dato
2011;Proporción de hombres nacidos respecto a mujeres nacidas;Otros;;;105.63;Porcentaje;
2011;Edad media de la madre española;Otros;;;33.76;Porcentaje;
2011;Tasa general de fecundidad;Otros;;;42.46;Tasa;
2011;Tasa bruta de natalidad;Otros;;;11.09;Tasa;
2012;Edad media de la madre al nacimiento del segundo hijo;Otros;;;34.22;Años;
2012;Edad media de la madre al nacimiento del tercer hijo y sucesivos;Otros;;;34.91;Años;
2012;Edad media de la madre al nacimiento del primer hijo;Otros;;;31.89;Años;
2012;Edad media de la madre;Otros;;;33.10;Años;
2012;Indice sintético de fecundidad;Otros;;;1.31;Índice;
2012;Crecimiento vegetativo;Otros;;;26575;Número;
2012;Proporción de hombres nacidos respecto a mujeres nacidas;Otros;;;105.60;Porcentaje;
2012;Proporción de hombres nacidos respecto al total de nacidos;Otros;;;51.36;Porcentaje;
2012;Proporción de nacimientos de madre casada;Otros;;;63.60;Porcentaje;
2012;Edad media de la madre española;Otros;;;33.92;Porcentaje;
2012;Edad media de la madre extranjera;Otros;;;30.45;Porcentaje;
2012;Tasa general de fecundidad;Otros;;;41.39;Tasa;
2012;Tasa bruta de natalidad;Otros;;;10.68;Tasa;
2013;Edad media de la madre al nacimiento del primer hijo;Otros;;;32.17;Años;
2013;Edad media de la madre al nacimiento del segundo hijo;Otros;;;34.41;Años;
2013;Edad media de la madre;Otros;;;33.30;Años;
2013;Edad media de la madre al nacimiento del tercer hijo y sucesivos;Otros;;;35.21;Años;
2013;Indice sintético de fecundidad;Otros;;;1.27;Índice;
2013;Crecimiento vegetativo;Otros;;;22950;Número;
2013;Proporción de hombres nacidos respecto al total de nacidos;Otros;;;51.39;Porcentaje;
2013;Edad media de la madre española;Otros;;;34.03;Porcentaje;
2013;Proporción de hombres nacidos respecto a mujeres nacidas;Otros;;;105.74;Porcentaje;
2013;Edad media de la madre extranjera;Otros;;;30.78;Porcentaje;
2013;Proporción de nacimientos de madre casada;Otros;;;62.54;Porcentaje;
2013;Tasa bruta de natalidad;Otros;;;10.09;Tasa;
2013;Tasa general de fecundidad;Otros;;;39.72;Tasa;
2014;Edad media de la madre;Otros;;;33.46;Años;
2014;Edad media de la madre al nacimiento del tercer hijo y sucesivos;Otros;;;35.16;Años;
2014;Edad media de la madre al nacimiento del primer hijo;Otros;;;32.39;Años;
2014;Edad media de la madre al nacimiento del segundo hijo;Otros;;;34.51;Años;
2014;Indice sintético de fecundidad;Otros;;;1.32;Índice;
2014;Crecimiento vegetativo;Otros;;;22441;Número;
2014;Edad media de la madre extranjera;Otros;;;31.02;Porcentaje;
2014;Edad media de la madre española;Otros;;;34.11;Porcentaje;
2014;Proporción de hombres nacidos respecto a mujeres nacidas;Otros;;;106.85;Porcentaje;
2014;Proporción de hombres nacidos respecto al total de nacidos;Otros;;;51.66;Porcentaje;
2014;Proporción de nacimientos de madre casada;Otros;;;61.10;Porcentaje;
2014;Tasa bruta de natalidad;Otros;;;10.16;Tasa;
2014;Tasa general de fecundidad;Otros;;;40.67;Tasa;
